name,type,model,color,sku,simples_skus,Body Type,Color Description,description,neck,fingerboard,scale_length,body_material,pickups,bridge,tuning_machines,Options,msrp,visibility,country_of_manufacture,_attribute_set,configurable_attributes,_product_websites,custom_design,enable_googlecheckout,msrp_display_actual_price_type,msrp_enabled,options_container,price,short_description,status,tax_class_id,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided
Maranello Classic 15th Anniv.,simple,MRG15,GMSP,MRG15-GMSP,,Solid Body,Gold Mist Sparkle,"Introducing one of our most unique Maranello Classic styles ever in celebration of 15 years in production. We are proud to present the 15th anniversary model of the Maranello Classic, adorned in a spectacular Gold Mist Sparkle top, wrapped top to bottom with Gold Pearloid on the back, including a completely Pearloid fingerboard and headstock resulting in a stunningly beautiful showpiece, all while delivering the same amazing sound as the original Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Goldplexi,25.5in. / 635mm,Alder,Italia Premier IPCb + IPCn,Tune-o-matic w/Italia Stop-bar,Italia Machines,,1001,4,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Introducing one of our most unique Maranello Classic styles ever in celebration of 15 years in production. We are proud to present the 15th anniversary model of the Maranello Classic, adorned in a spectacular Gold Mist Sparkle top, wrapped top to bottom with Gold Pearloid on the back, including a completely Pearloid fingerboard and headstock resulting in a stunningly beautiful showpiece, all while delivering the same amazing sound as the original Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Classic  ,simple,MRG,BLSP,MRG-BLSP,,Solid Body,Blue Sparkle,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Classic  ,simple,MRG,RDSP,MRG-RDSP,,Solid Body,Red Sparkle,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Classic  ,simple,MRG,GDSP,MRG-GDSP,,Solid Body,Gold Sparkle,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Classic  ,simple,MRG,BKSP,MRG-BKSP,,Solid Body,Black Sparkle,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Classic  ,configurable,,,MRG,"MRG-BKSP,MRG-GDSP,MRG-RDSP,MRG-BLSP",Solid Body,,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",Action adjustable Bolt on Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Agathis Tonewood,Wilkinson WVC Humbuckers w/Tap-coil,Tune-o-matic w/Italia Stop-bar,Italia Machines,Pearloid Back,1001,4,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Maranello combines the flavor of the Sixties with the sound and playability demanded by todays modern musician.  The Alnico V “Vintage Voiced” Wilkinson Humbuckers mounted in their unique, floating pickguard provide a rich spectrum of tones. The whole Maranello product line are true workhorses -- exquisitely styled, yet built to survive the most rigorous gigging musicians schedule. If creamy-blues, thick jazz or sizzling rock is among your repertoire, then you should check these out. Many top artists already have, including virtuoso blues guitarist Chris Rea, who plays a Maranello Classic.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello '61,simple,MRG61,SBG,MRG61-SBG,,Semi-Hollow,Seethru Burgundy,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Maple Semi-Hollow Body w/Spruce Top,Two Wilkinson WHHB Humbuckers w/5way Mega S/W,Roller Saddled Tune-o-matic w/Italia Whammy-Bar,Italia Locking Tuners,,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello '61,simple,MRG61,2TS,MRG61-2TS,,Semi-Hollow,2 Tone Sunburst,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Maple Semi-Hollow Body w/Spruce Top,Two Wilkinson WHHB Humbuckers w/5way Mega S/W,Roller Saddled Tune-o-matic w/Italia Whammy-Bar,Italia Locking Tuners,,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello '61,configurable,,,MRG61,"MRG61-2TS,MRG61-SBG",Semi-Hollow,,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Maple Semi-Hollow Body w/Spruce Top,Two Wilkinson WHHB Humbuckers w/5way Mega S/W,Roller Saddled Tune-o-matic w/Italia Whammy-Bar,Italia Locking Tuners,,1001,4,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Semi-acoustic tone in a compact, double-cutaway design. This modern take on a retro flavor is lightweight, but a true heavyweight when it comes to tone. The Maranello ‘61’s two high-output Humbuckers are connected with our super 5-way switch to give you limitless classic sounds. The Vintage Vibrato gives all you ‘wobblers’ and ‘dive-bombers’ out there the tool you need to get exactly the sound you want.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
Maranello Speedster,simple,MRGS,RBL,MRGS-RBL,,Solid Body,Racing Blue,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",Speed accessable Set Neck w/Hardrock Maple,22fret Rosewood,25.5in. / 635mm,Korina,Wilkinson WVC Humbuckers / Italia Itron for Speedster M,Combination,Italia Machines,Speedster 2 with Two of WVC Humbuckers,1001,1,KR,Default,color,base,shopper/default,1,Use config,Use config,container1,901.01,"Loud in every sense of the word, the Maranello Speedster manages to combine classy minimalism with exuberant self-confidence. A true 'players' instrument with a fantastic neck, great sustain and awesome tone, delivered via the 'Vintage Voiced' Wilkinson Humbucker. From the 'go-faster' stripes for those fiery solos..... to the checkered flag-taking formula with the ‘go-faster’ Speedster II. The guitar features a distinctive Korina body with 'cut off' upper and lower body horns and a set maple neck, topped off with a ‘speed accessible’ rosewood fingerboard. Don’t miss those go-faster 'accelerating' split-block slim fret markers! Topping off the retro vibe is the solid-mounted Wilkinson Intonated Wrapover Bridge. The Maranello Speedster M comes in the choice of alluring 'Italia-Marbling' color patterns, making a vivid visual and sonic statement of intent.",1,2,,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
